Date,HomeTeam,AwayTeam,FTHG,FTAG
10/8/2018,Man United,Leicester,2,1
11/8/2018,Bournemouth,Cardiff,2,0
11/8/2018,Fulham,Crystal Palace,0,2
11/8/2018,Huddersfield,Chelsea,0,3
11/8/2018,Newcastle,Tottenham,1,2
11/8/2018,Watford,Brighton,2,0
11/8/2018,Wolves,Everton,2,2
12/8/2018,Arsenal,Man City,0,2
12/8/2018,Liverpool,West Ham,4,0
12/8/2018,Southampton,Burnley,0,0
18/08/2018,Cardiff,Newcastle,0,0
18/08/2018,Chelsea,Arsenal,3,2
18/08/2018,Everton,Southampton,2,1
18/08/2018,Leicester,Wolves,2,0
18/08/2018,Tottenham,Fulham,3,1
18/08/2018,West Ham,Bournemouth,1,2
19/08/2018,Brighton,Man United,3,2
19/08/2018,Burnley,Watford,1,3
19/08/2018,Man City,Huddersfield,6,1
20/08/2018,Crystal Palace,Liverpool,0,2
25/08/2018,Arsenal,West Ham,3,1
25/08/2018,Bournemouth,Everton,2,2
25/08/2018,Huddersfield,Cardiff,0,0
25/08/2018,Liverpool,Brighton,1,0
25/08/2018,Southampton,Leicester,1,2
25/08/2018,Wolves,Man City,1,1
26/08/2018,Fulham,Burnley,4,2
26/08/2018,Newcastle,Chelsea,1,2
26/08/2018,Watford,Crystal Palace,2,1
27/08/2018,Man United,Tottenham,0,3
1/9/2018,Brighton,Fulham,2,2
1/9/2018,Chelsea,Bournemouth,2,0
1/9/2018,Crystal Palace,Southampton,0,2
1/9/2018,Everton,Huddersfield,1,1
1/9/2018,Leicester,Liverpool,1,2
1/9/2018,Man City,Newcastle,2,1
1/9/2018,West Ham,Wolves,0,1
2/9/2018,Burnley,Man United,0,2
2/9/2018,Cardiff,Arsenal,2,3
2/9/2018,Watford,Tottenham,2,1
15/09/2018,Bournemouth,Leicester,4,2
15/09/2018,Chelsea,Cardiff,4,1
15/09/2018,Huddersfield,Crystal Palace,0,1
15/09/2018,Man City,Fulham,3,0
15/09/2018,Newcastle,Arsenal,1,2
15/09/2018,Tottenham,Liverpool,1,2
15/09/2018,Watford,Man United,1,2
16/09/2018,Everton,West Ham,1,3
16/09/2018,Wolves,Burnley,1,0
17/09/2018,Southampton,Brighton,2,2
22/09/2018,Brighton,Tottenham,1,2
22/09/2018,Burnley,Bournemouth,4,0
22/09/2018,Cardiff,Man City,0,5
22/09/2018,Crystal Palace,Newcastle,0,0
22/09/2018,Fulham,Watford,1,1
22/09/2018,Leicester,Huddersfield,3,1
22/09/2018,Liverpool,Southampton,3,0
22/09/2018,Man United,Wolves,1,1
23/09/2018,Arsenal,Everton,2,0
23/09/2018,West Ham,Chelsea,0,0
29/09/2018,Arsenal,Watford,2,0
29/09/2018,Chelsea,Liverpool,1,1
29/09/2018,Everton,Fulham,3,0
29/09/2018,Huddersfield,Tottenham,0,2
29/09/2018,Man City,Brighton,2,0
29/09/2018,Newcastle,Leicester,0,2
29/09/2018,West Ham,Man United,3,1
29/09/2018,Wolves,Southampton,2,0
30/09/2018,Cardiff,Burnley,1,2
1/10/2018,Bournemouth,Crystal Palace,2,1
5/10/2018,Brighton,West Ham,1,0
6/10/2018,Burnley,Huddersfield,1,1
6/10/2018,Crystal Palace,Wolves,0,1
6/10/2018,Leicester,Everton,1,2
6/10/2018,Man United,Newcastle,3,2
6/10/2018,Tottenham,Cardiff,1,0
6/10/2018,Watford,Bournemouth,0,4
7/10/2018,Fulham,Arsenal,1,5
7/10/2018,Liverpool,Man City,0,0
7/10/2018,Southampton,Chelsea,0,3
20/10/2018,Bournemouth,Southampton,0,0
20/10/2018,Cardiff,Fulham,4,2
20/10/2018,Chelsea,Man United,2,2
20/10/2018,Huddersfield,Liverpool,0,1
20/10/2018,Man City,Burnley,5,0
20/10/2018,Newcastle,Brighton,0,1
20/10/2018,West Ham,Tottenham,0,1
20/10/2018,Wolves,Watford,0,2
21/10/2018,Everton,Crystal Palace,2,0
22/10/2018,Arsenal,Leicester,3,1
27/10/2018,Brighton,Wolves,1,0
27/10/2018,Fulham,Bournemouth,0,3
27/10/2018,Leicester,West Ham,1,1
27/10/2018,Liverpool,Cardiff,4,1
27/10/2018,Southampton,Newcastle,0,0
27/10/2018,Watford,Huddersfield,3,0
28/10/2018,Burnley,Chelsea,0,4
28/10/2018,Crystal Palace,Arsenal,2,2
28/10/2018,Man United,Everton,2,1
29/10/2018,Tottenham,Man City,0,1
3/11/2018,Arsenal,Liverpool,1,1
3/11/2018,Bournemouth,Man United,1,2
3/11/2018,Cardiff,Leicester,0,1
3/11/2018,Everton,Brighton,3,1
3/11/2018,Newcastle,Watford,1,0
3/11/2018,West Ham,Burnley,4,2
3/11/2018,Wolves,Tottenham,2,3
4/11/2018,Chelsea,Crystal Palace,3,1
4/11/2018,Man City,Southampton,6,1
5/11/2018,Huddersfield,Fulham,1,0
10/11/2018,Cardiff,Brighton,2,1
10/11/2018,Crystal Palace,Tottenham,0,1
10/11/2018,Huddersfield,West Ham,1,1
10/11/2018,Leicester,Burnley,0,0
10/11/2018,Newcastle,Bournemouth,2,1
10/11/2018,Southampton,Watford,1,1
11/11/2018,Arsenal,Wolves,1,1
11/11/2018,Chelsea,Everton,0,0
11/11/2018,Liverpool,Fulham,2,0
11/11/2018,Man City,Man United,3,1
24/11/2018,Brighton,Leicester,1,1
24/11/2018,Everton,Cardiff,1,0
24/11/2018,Fulham,Southampton,3,2
24/11/2018,Man United,Crystal Palace,0,0
24/11/2018,Tottenham,Chelsea,3,1
24/11/2018,Watford,Liverpool,0,3
24/11/2018,West Ham,Man City,0,4
25/11/2018,Bournemouth,Arsenal,1,2
25/11/2018,Wolves,Huddersfield,0,2
26/11/2018,Burnley,Newcastle,1,2
30/11/2018,Cardiff,Wolves,2,1
1/12/2018,Crystal Palace,Burnley,2,0
1/12/2018,Huddersfield,Brighton,1,2
1/12/2018,Leicester,Watford,2,0
1/12/2018,Man City,Bournemouth,3,1
1/12/2018,Newcastle,West Ham,0,3
1/12/2018,Southampton,Man United,2,2
2/12/2018,Arsenal,Tottenham,4,2
2/12/2018,Chelsea,Fulham,2,0
2/12/2018,Liverpool,Everton,1,0
4/12/2018,Bournemouth,Huddersfield,2,1
4/12/2018,Brighton,Crystal Palace,3,1
4/12/2018,Watford,Man City,1,2
4/12/2018,West Ham,Cardiff,3,1
5/12/2018,Burnley,Liverpool,1,3
5/12/2018,Everton,Newcastle,1,1
5/12/2018,Fulham,Leicester,1,1
5/12/2018,Man United,Arsenal,2,2
5/12/2018,Tottenham,Southampton,3,1
5/12/2018,Wolves,Chelsea,2,1
8/12/2018,Arsenal,Huddersfield,1,0
8/12/2018,Bournemouth,Liverpool,0,4
8/12/2018,Burnley,Brighton,1,0
8/12/2018,Cardiff,Southampton,1,0
8/12/2018,Chelsea,Man City,2,0
8/12/2018,Leicester,Tottenham,0,2
8/12/2018,Man United,Fulham,4,1
8/12/2018,West Ham,Crystal Palace,3,2
9/12/2018,Newcastle,Wolves,1,2
10/12/2018,Everton,Watford,2,2
15/12/2018,Crystal Palace,Leicester,1,0
15/12/2018,Fulham,West Ham,0,2
15/12/2018,Huddersfield,Newcastle,0,1
15/12/2018,Man City,Everton,3,1
15/12/2018,Tottenham,Burnley,1,0
15/12/2018,Watford,Cardiff,3,2
15/12/2018,Wolves,Bournemouth,2,0
16/12/2018,Brighton,Chelsea,1,2
16/12/2018,Liverpool,Man United,3,1
16/12/2018,Southampton,Arsenal,3,2
21/12/2018,Wolves,Liverpool,0,2
22/12/2018,Arsenal,Burnley,3,1
22/12/2018,Bournemouth,Brighton,2,0
22/12/2018,Cardiff,Man United,1,5
22/12/2018,Chelsea,Leicester,0,1
22/12/2018,Huddersfield,Southampton,1,3
22/12/2018,Man City,Crystal Palace,2,3
22/12/2018,Newcastle,Fulham,0,0
22/12/2018,West Ham,Watford,0,2
23/12/2018,Everton,Tottenham,2,6
26/12/2018,Brighton,Arsenal,1,1
26/12/2018,Burnley,Everton,1,5
26/12/2018,Crystal Palace,Cardiff,0,0
26/12/2018,Fulham,Wolves,1,1
26/12/2018,Leicester,Man City,2,1
26/12/2018,Liverpool,Newcastle,4,0
26/12/2018,Man United,Huddersfield,3,1
26/12/2018,Tottenham,Bournemouth,5,0
26/12/2018,Watford,Chelsea,1,2
27/12/2018,Southampton,West Ham,1,2
29/12/2018,Brighton,Everton,1,0
29/12/2018,Fulham,Huddersfield,1,0
29/12/2018,Leicester,Cardiff,0,1
29/12/2018,Liverpool,Arsenal,5,1
29/12/2018,Tottenham,Wolves,1,3
29/12/2018,Watford,Newcastle,1,1
30/12/2018,Burnley,West Ham,2,0
30/12/2018,Crystal Palace,Chelsea,0,1
30/12/2018,Man United,Bournemouth,4,1
30/12/2018,Southampton,Man City,1,3
1/1/2019,Arsenal,Fulham,4,1
1/1/2019,Cardiff,Tottenham,0,3
1/1/2019,Everton,Leicester,0,1
2/1/2019,Bournemouth,Watford,3,3
2/1/2019,Chelsea,Southampton,0,0
2/1/2019,Huddersfield,Burnley,1,2
2/1/2019,Newcastle,Man United,0,2
2/1/2019,West Ham,Brighton,2,2
2/1/2019,Wolves,Crystal Palace,0,2
3/1/2019,Man City,Liverpool,2,1
12/1/2019,Brighton,Liverpool,0,1
12/1/2019,Burnley,Fulham,2,1
12/1/2019,Cardiff,Huddersfield,0,0
12/1/2019,Chelsea,Newcastle,2,1
12/1/2019,Crystal Palace,Watford,1,2
12/1/2019,Leicester,Southampton,1,2
12/1/2019,West Ham,Arsenal,1,0
13/01/2019,Everton,Bournemouth,2,0
13/01/2019,Tottenham,Man United,0,1
14/01/2019,Man City,Wolves,3,0
19/01/2019,Arsenal,Chelsea,2,0
19/01/2019,Bournemouth,West Ham,2,0
19/01/2019,Liverpool,Crystal Palace,4,3
19/01/2019,Man United,Brighton,2,1
19/01/2019,Newcastle,Cardiff,3,0
19/01/2019,Southampton,Everton,2,1
19/01/2019,Watford,Burnley,0,0
19/01/2019,Wolves,Leicester,4,3
20/01/2019,Fulham,Tottenham,1,2
20/01/2019,Huddersfield,Man City,0,3
29/01/2019,Arsenal,Cardiff,2,1
29/01/2019,Fulham,Brighton,4,2
29/01/2019,Huddersfield,Everton,0,1
29/01/2019,Man United,Burnley,2,2
29/01/2019,Newcastle,Man City,2,1
29/01/2019,Wolves,West Ham,3,0
30/01/2019,Bournemouth,Chelsea,4,0
30/01/2019,Liverpool,Leicester,1,1
30/01/2019,Southampton,Crystal Palace,1,1
30/01/2019,Tottenham,Watford,2,1
2/2/2019,Brighton,Watford,0,0
2/2/2019,Burnley,Southampton,1,1
2/2/2019,Cardiff,Bournemouth,2,0
2/2/2019,Chelsea,Huddersfield,5,0
2/2/2019,Crystal Palace,Fulham,2,0
2/2/2019,Everton,Wolves,1,3
2/2/2019,Tottenham,Newcastle,1,0
3/2/2019,Leicester,Man United,0,1
3/2/2019,Man City,Arsenal,3,1
4/2/2019,West Ham,Liverpool,1,1
6/2/2019,Everton,Man City,0,2
9/2/2019,Brighton,Burnley,1,3
9/2/2019,Crystal Palace,West Ham,1,1
9/2/2019,Fulham,Man United,0,3
9/2/2019,Huddersfield,Arsenal,1,2
9/2/2019,Liverpool,Bournemouth,3,0
9/2/2019,Southampton,Cardiff,1,2
9/2/2019,Watford,Everton,1,0
10/2/2019,Man City,Chelsea,6,0
10/2/2019,Tottenham,Leicester,3,1
11/2/2019,Wolves,Newcastle,1,1
22/02/2019,Cardiff,Watford,1,5
22/02/2019,West Ham,Fulham,3,1
23/02/2019,Bournemouth,Wolves,1,1
23/02/2019,Burnley,Tottenham,2,1
23/02/2019,Leicester,Crystal Palace,1,4
23/02/2019,Newcastle,Huddersfield,2,0
24/02/2019,Arsenal,Southampton,2,0
24/02/2019,Man United,Liverpool,0,0
26/02/2019,Cardiff,Everton,0,3
26/02/2019,Huddersfield,Wolves,1,0
26/02/2019,Leicester,Brighton,2,1
26/02/2019,Newcastle,Burnley,2,0
27/02/2019,Arsenal,Bournemouth,5,1
27/02/2019,Chelsea,Tottenham,2,0
27/02/2019,Crystal Palace,Man United,1,3
27/02/2019,Liverpool,Watford,5,0
27/02/2019,Man City,West Ham,1,0
27/02/2019,Southampton,Fulham,2,0
2/3/2019,Bournemouth,Man City,0,1
2/3/2019,Brighton,Huddersfield,1,0
2/3/2019,Burnley,Crystal Palace,1,3
2/3/2019,Man United,Southampton,3,2
2/3/2019,Tottenham,Arsenal,1,1
2/3/2019,West Ham,Newcastle,2,0
2/3/2019,Wolves,Cardiff,2,0
3/3/2019,Everton,Liverpool,0,0
3/3/2019,Fulham,Chelsea,1,2
3/3/2019,Watford,Leicester,2,1
9/3/2019,Cardiff,West Ham,2,0
9/3/2019,Crystal Palace,Brighton,1,2
9/3/2019,Huddersfield,Bournemouth,0,2
9/3/2019,Leicester,Fulham,3,1
9/3/2019,Man City,Watford,3,1
9/3/2019,Newcastle,Everton,3,2
9/3/2019,Southampton,Tottenham,2,1
10/3/2019,Arsenal,Man United,2,0
10/3/2019,Chelsea,Wolves,1,1
10/3/2019,Liverpool,Burnley,4,2
16/03/2019,Bournemouth,Newcastle,2,2
16/03/2019,Burnley,Leicester,1,2
16/03/2019,West Ham,Huddersfield,4,3
17/03/2019,Everton,Chelsea,2,0
17/03/2019,Fulham,Liverpool,1,2
30/03/2019,Brighton,Southampton,0,1
30/03/2019,Burnley,Wolves,2,0
30/03/2019,Crystal Palace,Huddersfield,2,0
30/03/2019,Fulham,Man City,0,2
30/03/2019,Leicester,Bournemouth,2,0
30/03/2019,Man United,Watford,2,1
30/03/2019,West Ham,Everton,0,2
31/03/2019,Cardiff,Chelsea,1,2
31/03/2019,Liverpool,Tottenham,2,1
1/4/2019,Arsenal,Newcastle,2,0
2/4/2019,Watford,Fulham,4,1
2/4/2019,Wolves,Man United,2,1
3/4/2019,Chelsea,Brighton,3,0
3/4/2019,Man City,Cardiff,2,0
3/4/2019,Tottenham,Crystal Palace,2,0
5/4/2019,Southampton,Liverpool,1,3
6/4/2019,Bournemouth,Burnley,1,3
6/4/2019,Huddersfield,Leicester,1,4
6/4/2019,Newcastle,Crystal Palace,0,1
7/4/2019,Everton,Arsenal,1,0
8/4/2019,Chelsea,West Ham,2,0
12/4/2019,Leicester,Newcastle,0,1
13/04/2019,Brighton,Bournemouth,0,5
13/04/2019,Burnley,Cardiff,2,0
13/04/2019,Fulham,Everton,2,0
13/04/2019,Man United,West Ham,2,1
13/04/2019,Southampton,Wolves,3,1
13/04/2019,Tottenham,Huddersfield,4,0
14/04/2019,Crystal Palace,Man City,1,3
14/04/2019,Liverpool,Chelsea,2,0
15/04/2019,Watford,Arsenal,0,1
16/04/2019,Brighton,Cardiff,0,2
20/04/2019,Bournemouth,Fulham,0,1
20/04/2019,Huddersfield,Watford,1,2
20/04/2019,Man City,Tottenham,1,0
20/04/2019,Newcastle,Southampton,3,1
20/04/2019,West Ham,Leicester,2,2
20/04/2019,Wolves,Brighton,0,0
21/04/2019,Arsenal,Crystal Palace,2,3
21/04/2019,Cardiff,Liverpool,0,2
21/04/2019,Everton,Man United,4,0
22/04/2019,Chelsea,Burnley,2,2
23/04/2019,Tottenham,Brighton,1,0
23/04/2019,Watford,Southampton,1,1
24/04/2019,Man United,Man City,0,2
24/04/2019,Wolves,Arsenal,3,1
26/04/2019,Liverpool,Huddersfield,5,0
27/04/2019,Brighton,Newcastle,1,1
27/04/2019,Crystal Palace,Everton,0,0
27/04/2019,Fulham,Cardiff,1,0
27/04/2019,Southampton,Bournemouth,3,3
27/04/2019,Tottenham,West Ham,0,1
27/04/2019,Watford,Wolves,1,2
28/04/2019,Burnley,Man City,0,1
28/04/2019,Leicester,Arsenal,3,0
28/04/2019,Man United,Chelsea,1,1
3/5/2019,Everton,Burnley,2,0
4/5/2019,Bournemouth,Tottenham,1,0
4/5/2019,Cardiff,Crystal Palace,2,3
4/5/2019,Newcastle,Liverpool,2,3
4/5/2019,West Ham,Southampton,3,0
4/5/2019,Wolves,Fulham,1,0
5/5/2019,Arsenal,Brighton,1,1
5/5/2019,Chelsea,Watford,3,0
5/5/2019,Huddersfield,Man United,1,1
6/5/2019,Man City,Leicester,1,0
12/5/2019,Brighton,Man City,1,4
12/5/2019,Burnley,Arsenal,1,3
12/5/2019,Crystal Palace,Bournemouth,5,3
12/5/2019,Fulham,Newcastle,0,4
12/5/2019,Leicester,Chelsea,0,0
12/5/2019,Liverpool,Wolves,2,0
12/5/2019,Man United,Cardiff,0,2
12/5/2019,Southampton,Huddersfield,1,1
12/5/2019,Tottenham,Everton,2,2
12/5/2019,Watford,West Ham,1,4
